PassengerId,Survived
279,1
784,0
636,0
441,0
631,1
296,0
610,0
236,0
549,1
24,0
98,0
756,1
585,0
534,0
56,0
561,0
583,0
537,1
237,0
413,1
677,0
381,0
314,0
813,0
458,1
472,1
816,0
297,0
621,0
586,1
361,1
90,0
865,1
364,0
126,1
732,0
619,1
393,0
540,1
595,1
185,1
559,1
863,1
205,0
433,1
556,1
225,1
432,0
591,0
319,0
555,0
606,1
232,0
7,1
801,0
779,1
312,1
299,0
290,0
831,0
416,1
548,1
92,1
581,1
305,1
39,0
694,0
89,0
367,1
355,0
808,0
274,1
554,0
825,0
563,1
573,1
291,1
397,0
747,1
384,1
52,1
118,0
395,1
376,1
781,1
91,0
695,1
857,1
711,0
143,0
142,1
219,1
146,0
234,0
172,0
557,0
190,0
79,0
566,0
280,1
741,0
137,0
21,1
766,1
476,1
838,0
428,1
223,1
643,0
372,1
99,0
605,1
352,0
374,1
43,0
588,1
67,0
152,0
762,0
440,1
815,0
184,1
12,1
82,0
442,0
270,1
867,1
58,0
680,1
702,1
175,0
3,0
50,0
5,0
336,1
836,1
169,0
700,0
770,0
799,1
641,0
577,1
400,1
341,0
332,0
368,0
72,0
328,0
271,0
183,0
542,0
10,1
674,0
489,0
222,0
331,0
644,1
471,0
264,0
211,0
670,0
659,0
119,0
520,0
419,1
112,0
390,1
576,0
216,1
36,0
630,0
856,1
885,1
403,0
113,0
768,0
806,0
735,0
181,0
